datetime,current_mcp,predicted_dam_price,actual_dam_price,error,abs_error,correct_prediction
2019-01-02 00:00:00,2410.32,2309.304931640625,1999.41,-309.8949316406249,309.8949316406249,True
2019-01-02 00:15:00,2402.82,2309.304931640625,1999.09,-310.2149316406251,310.2149316406251,True
2019-01-02 00:30:00,2402.8,2309.304931640625,1840.98,-468.324931640625,468.324931640625,True
2019-01-02 00:45:00,2070.61,2274.67724609375,1796.5,-478.17724609375,478.17724609375,False
2019-01-02 01:00:00,1999.8,2274.67724609375,1749.94,-524.73724609375,524.73724609375,False
2019-01-02 01:15:00,1999.53,2274.67724609375,1749.76,-524.91724609375,524.91724609375,False
2019-01-02 01:30:00,1950.24,2274.67724609375,1749.41,-525.2672460937499,525.2672460937499,False
2019-01-02 01:45:00,1826.7,2274.67724609375,1749.25,-525.42724609375,525.42724609375,False
2019-01-02 02:00:00,1749.37,2274.67724609375,1749.3,-525.37724609375,525.37724609375,False
2019-01-02 02:15:00,1711.25,2274.67724609375,1749.25,-525.42724609375,525.42724609375,True
2019-01-02 02:30:00,1711.55,2274.67724609375,1749.2,-525.47724609375,525.47724609375,True
2019-01-02 02:45:00,1716.65,2274.67724609375,1749.12,-525.5572460937501,525.5572460937501,True
2019-01-02 03:00:00,1749.13,2274.67724609375,1749.01,-525.66724609375,525.66724609375,False
2019-01-02 03:15:00,1749.19,2274.67724609375,1749.13,-525.5472460937499,525.5472460937499,False
2019-01-02 03:30:00,1749.41,2274.67724609375,1749.2,-525.47724609375,525.47724609375,False
2019-01-02 03:45:00,1749.69,2274.67724609375,1749.27,-525.40724609375,525.40724609375,False
2019-01-02 04:00:00,1800.77,2274.67724609375,1749.09,-525.5872460937501,525.5872460937501,False
2019-01-02 04:15:00,1953.88,2274.67724609375,1749.25,-525.42724609375,525.42724609375,False
2019-01-02 04:30:00,1999.68,2274.67724609375,1749.98,-524.69724609375,524.69724609375,False
2019-01-02 04:45:00,1999.59,2274.67724609375,1800.12,-474.5572460937501,474.5572460937501,False
