datetime,purchase_bid_mw,sell_bid_mw,mcv_mw,volume_mw,mcp,weighted_mcp,demand_national,demand_north,demand_west,demand_east,demand_south,demand_northeast,hour,minute,day_of_week,month,is_weekend,is_peak_hour,mcp_lag1,mcp_lag96,demand_lag1,demand_lag96,mcp_ma4,mcp_ma96,mcp_rollstd96,demand_rollmean96,price_momentum,volatility_idx,grid_stress,price_chg_pct,demand_growth,bid_ask_spread,delhi_temp,delhi_humidity,delhi_windspeed,delhi_precip,delhi_cloudcover,mumbai_temp,mumbai_humidity,mumbai_windspeed,mumbai_precip,mumbai_cloudcover,kolkata_temp,kolkata_humidity,kolkata_windspeed,kolkata_precip,kolkata_cloudcover,chennai_temp,chennai_humidity,chennai_windspeed,chennai_precip,chennai_cloudcover,guwahati_temp,guwahati_humidity,guwahati_windspeed,guwahati_precip,guwahati_cloudcover,solar_proxy,wind_proxy,renewable_proxy
2019-01-02,675841.0,894924.0,416838.24,415128.43,3531.3828125,3531.3828125,138580.55442708332,39817.765364583334,45768.6228125,14126.389947916667,37145.48291666667,1722.2947395833335,0,0,2,1,0.0,0.16666666666666666,3533.2741666666666,3201.5158333333334,138542.73736979166,137135.13062500002,3531.530859375,3381.0682573784725,1199.5763128657477,137140.21521213106,-1.8913541666666671,1199.5763128657477,1.0106028947740193,0.27418164996408456,0.037262686705520166,-2282.1145833333335,14.125520833333333,70.76041666666667,6.916145833333334,0.0,10.520833333333334,22.3640625,52.786458333333336,10.3609375,0.0,41.177083333333336,17.0265625,71.54166666666667,7.374479166666667,0.0,0.0,24.139062499999998,63.942708333333336,12.128645833333332,0.0,38.046875,15.760416666666666,73.65104166666667,5.336458333333333,0.0,8.057291666666666,15.571745260416668,8.423333333333334,12.712380489583333
2019-01-03,573853.8,920352.5,372414.36,372196.1,3252.6592708333333,3252.6592708333333,139939.920625,39917.2059375,46319.71260416667,14391.542447916667,37594.0,1717.4586979166668,0,0,3,1,0.0,0.16666666666666666,3256.8602083333335,3531.3828125,139931.196171875,138580.55442708332,3259.9424218750005,3379.4758311631945,1224.2246175556058,139518.4137375217,-4.2009374999999975,1224.2246175556058,1.0028675880252442,0.07031358800906042,0.01207281637426391,-3609.3614583333333,13.4140625,69.72395833333333,9.934375000000001,0.0,3.265625,21.72864583333333,58.182291666666664,8.933333333333334,0.0,0.0,17.162499999999998,69.46354166666667,7.343229166666667,0.0,0.0,24.040625000000002,68.765625,10.9203125,0.0,37.791666666666664,16.1375,77.52604166666667,4.654166666666667,0.13333333333333333,14.338541666666666,16.349495208333334,8.357083333333334,13.152530458333333
2019-01-04,744967.6,846687.4,435651.84,435651.83,3758.001770833333,3758.001770833333,140809.86666666667,40269.08807291667,46461.4909375,14535.336145833333,37817.91203125,1726.0393229166666,0,0,4,1,0.0,0.16666666666666666,3754.9186458333334,3252.6592708333333,140804.259296875,139939.920625,3753.8623697916664,3503.548132595486,1239.8715631323537,140471.09732421875,3.0831250000000003,1239.8715631323537,1.0023127641777616,0.3717543708793192,0.00967405942052456,-1059.58125,12.620833333333332,70.38020833333333,7.518229166666667,0.0,58.651041666666664,21.761979166666666,64.953125,9.895833333333334,0.0,0.0,16.806250000000002,68.28645833333333,7.54375,0.0,0.0,23.976041666666664,72.140625,11.324479166666668,0.0,19.760416666666668,15.116666666666667,79.88541666666667,7.291666666666667,0.0625,20.088541666666668,14.336865364583334,8.714791666666667,12.088035885416666
2019-01-05,658851.6,843551.1,414795.32,414795.32,3667.5386458333337,3667.5386458333337,139759.13203125002,39029.87359375,46756.57765625,14790.713020833333,37428.27734375,1753.6927604166667,0,0,5,1,1.0,0.16666666666666666,3671.6575,3758.001770833333,139773.00403645833,140809.86666666667,3672.7181770833336,3708.4212185329857,1470.2086102957921,140311.43453179253,-4.118854166666668,1470.2086102957921,0.9961821424507441,0.10714984783010761,-0.006655128481161551,-1923.953125,13.4359375,69.02083333333333,11.979166666666666,0.0,6.46875,22.152083333333334,64.18229166666667,10.156770833333333,0.0,10.666666666666666,16.838020833333335,68.45833333333333,8.999479166666667,0.0,5.53125,24.28697916666667,67.96875,11.461979166666666,0.0,36.072916666666664,15.160416666666668,76.65625,6.7453125,0.0,19.833333333333332,15.623972968750001,9.868541666666667,13.321800447916667
2019-01-06,583654.9,842433.6,381541.27,381541.3,3424.494583333333,3424.494583333333,134981.38317708333,37537.883489583335,45309.20947916667,14421.4459375,36020.78661458333,1692.0561458333332,0,0,6,1,1.0,0.16666666666666666,3423.2405208333334,3667.5386458333337,135037.6834375,139759.13203125002,3421.6710416666665,3538.1285449218753,1300.8896280644888,137752.68577365452,1.2540625000000014,1300.8896280644888,0.9801709840173186,0.2763848199043269,-0.043536129233246124,-2695.6114583333333,13.004166666666668,77.140625,8.638020833333334,0.09583333333333333,44.21875,22.421875,57.838541666666664,14.084895833333334,0.0,0.0,17.265625,71.16145833333333,8.606770833333334,0.0,11.260416666666666,24.0125,67.05729166666667,10.78125,0.0,38.380208333333336,15.664583333333333,73.27604166666667,7.0328124999999995,0.0,27.848958333333332,14.24873265625,9.828750000000001,12.48073959375
2019-01-07,715456.9,709562.7,387297.4,387297.4,4159.8653125,4159.8653125,138426.69692708334,38913.96364583333,45770.0403125,14582.866822916667,37456.56703125,1703.2591145833333,0,0,0,1,0.0,0.16666666666666666,4157.471354166667,3424.494583333333,138364.16122395833,134981.38317708333,4157.366510416667,3731.1097048611114,1368.89141200069,135608.46892361113,2.393958333333337,1368.89141200069,1.0206864866336376,0.40201448356693564,0.05869868510282536,61.39791666666665,12.4203125,77.015625,8.365104166666667,0.0,1.1510416666666667,23.128125,48.213541666666664,11.921875,0.0,0.0,17.532812500000002,70.52083333333333,8.560416666666667,0.0,0.0,24.251562500000002,73.19270833333333,10.8828125,0.020833333333333332,45.786458333333336,16.121354166666666,68.00520833333333,7.102083333333333,0.0,0.2916666666666667,16.948007239583333,9.366458333333334,13.915387677083332
2019-01-08,671782.8,900607.5,432904.75,429991.85,3656.1047916666666,3656.1047916666666,140575.00890625,40448.8365625,46408.241510416665,14390.607864583333,37640.688072916666,1686.6342187500002,0,0,1,1,0.0,0.16666666666666666,3654.5403125,4159.8653125,140572.59447916667,138426.69692708334,3652.91,3897.380262586805,1498.1570247582604,140106.68784830728,1.5644791666666638,1498.1570247582604,1.0030735271524962,0.41746105278404905,0.006709678994937134,-2383.5906250000003,12.191666666666668,75.015625,10.307291666666666,0.0,27.161458333333332,22.158854166666668,50.0,10.456249999999999,0.0,0.0,18.391145833333333,67.16145833333333,8.28125,0.0,1.0833333333333333,23.534895833333334,78.015625,10.208333333333334,0.0,5.083333333333333,16.258854166666666,67.86979166666667,6.4750000000000005,0.0,0.9583333333333334,17.247954322916666,9.145625,14.007022593750001
2019-01-09,702257.6,936575.9,473095.38,470820.64,3610.916041666667,3610.916041666667,140326.17026041666,40419.081979166665,46445.63364583333,14240.398958333333,37554.7975,1666.2588541666667,0,0,2,1,0.0,0.16666666666666666,3614.0379166666667,3656.1047916666666,140332.16776041666,140575.00890625,3614.51375,3639.50625,1458.2864903149211,140544.34209960938,-3.1218750000000006,1458.2864903149211,0.9984220722560458,0.18111714036309404,-4.617846154259438e-05,-2440.815625,12.541145833333333,68.73958333333333,12.771354166666667,0.0,0.0,20.705729166666668,63.661458333333336,10.433333333333334,0.0,11.416666666666666,18.4875,70.0625,6.828125,0.0,3.0416666666666665,23.1640625,79.39583333333333,8.549999999999999,0.0,17.932291666666668,16.933854166666666,72.14583333333333,5.282291666666667,0.09166666666666667,27.5,16.263692760416667,8.773020833333334,13.267423989583333
2019-01-10,740751.0,938742.2,479083.47000000003,477316.58,3549.1398958333334,3549.1398958333334,141327.10286458334,40341.0403125,46537.932499999995,14484.30953125,38224.120208333334,1739.7008854166668,0,0,3,1,0.0,0.16666666666666666,3549.450729166667,3610.916041666667,141307.294921875,140326.17026041666,3550.656588541667,3662.567001953125,1438.8664939707278,140572.08706054688,-0.31083333333333485,1438.8664939707278,1.0053558260572029,0.33067072759756905,0.021152637726710413,-2062.4083333333333,12.703645833333333,65.72916666666667,8.708333333333334,0.0,6.166666666666667,21.616145833333334,61.703125,8.434895833333334,0.0,20.583333333333332,18.013541666666665,70.63541666666667,6.9375,0.0,0.25,24.22083333333333,72.109375,10.457812500000001,0.0,28.864583333333332,15.780729166666667,79.11979166666667,5.588541666666667,0.0,15.744791666666666,16.1281396875,8.025416666666667,12.887050479166668
2019-01-11,745189.5,922437.5,479916.85,478911.76,3839.6965625,3839.6965625,142556.22239583332,40888.02395833333,46696.494583333326,14526.13,38678.80755208333,1766.7651562499998,0,0,4,1,0.0,0.16666666666666666,3842.097395833333,3549.1398958333334,142553.41411458334,141327.10286458334,3843.013489583333,3649.6576030815972,1538.2053832617128,142083.74849012587,-2.400833333333331,1538.2053832617128,1.003198952084959,0.39944371398350237,0.007079784733535902,-1846.3333333333333,12.932812499999999,67.46875,6.76875,0.0,6.380208333333333,21.758333333333336,65.72395833333333,9.915625,0.0,0.0,17.650000000000002,64.8125,7.732291666666666,0.0,0.0,24.886979166666666,65.375,12.3671875,0.004166666666666667,31.661458333333332,16.274479166666666,74.91145833333333,6.066666666666666,0.0,4.651041666666667,17.116694895833334,8.570104166666667,13.698058604166667
