datetime,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2018-04-30,577039.6,737479.7,482758.35,482758.32,3436.304166666667,3436.304166666667
2018-05-01,438982.7,987748.3,396596.0,396596.0,2873.031145833333,2873.031145833333
2018-05-02,606416.9,925539.7,541077.66,541077.67,3196.9840624999997,3196.9840624999997
2018-05-03,654648.5,830686.7,563262.75,563262.76,3412.6371875,3412.6371875
2018-05-04,616901.7,735733.8,515652.65,515568.15,3537.3867708333332,3537.3867708333332
2018-05-05,721036.6,821991.4,608295.26,601184.75,3658.564375,3658.564375
2018-05-06,660069.8,901053.8,567926.82,561744.55,3450.5814583333336,3450.5814583333336
2018-05-07,740321.7,787704.5,611141.28,606884.28,3929.2915625,3929.2915625
2018-05-08,815015.8,768102.1,653195.2,653195.2,4398.297604166667,4398.297604166667
2018-05-09,909123.5,809889.9,717250.57,702406.84,4592.223645833333,4592.223645833333
2018-05-10,934037.0,761175.6,703728.28,703728.29,4991.909791666667,4991.909791666667
2018-05-11,981676.3,704035.8,668534.8,668004.96,5464.0990625,5464.0990625
2018-05-12,946121.1,729224.2,672820.87,672820.9,5097.251041666666,5097.251041666666
2018-05-13,738377.8,788183.0,593005.8,593005.8,4114.2143750000005,4114.2143750000005
2018-05-14,829996.8,709695.4,608394.69,611137.28,4599.4003125,4599.4003125
2018-05-15,723276.0,742092.6,586273.49,586273.56,4061.5170833333336,4061.5170833333336
2018-05-16,688318.6,708713.6,551026.65,550142.98,4096.8976041666665,4096.8976041666665
2018-05-17,793131.7,681363.5,603232.57,586236.32,4588.871041666666,4588.871041666666
2018-05-18,915484.1,634439.4,578993.19,568685.48,5205.295416666667,5205.295416666667
2018-05-19,852153.7,637664.0,600276.1,560754.08,5580.259687500001,5580.259687500001
2018-05-20,868161.4,568328.2,539947.47,530103.79,6016.902083333333,6016.902083333333
2018-05-21,974522.3,616397.4,584042.8,576663.87,6277.325937500001,6277.325937500001
2018-05-22,903838.8,692844.2,645534.63,630981.08,6284.116458333334,6284.116458333334
2018-05-23,1030399.2,819788.2,763708.68,763467.23,6070.346145833333,6070.346145833333
2018-05-24,952548.8,816958.1,745075.14,744526.73,5697.575416666667,5697.575416666667
2018-05-25,1016500.4,851807.7,779106.76,768706.03,5692.523125,5692.523125
2018-05-26,846980.9,903024.3,698793.35,663387.57,4508.627916666667,4508.627916666667
2018-05-27,810808.9,926545.2,692384.53,681947.55,3959.278958333334,3959.278958333334
2018-05-28,931849.9,873083.8,738982.92,731628.13,4890.749583333333,4890.749583333333
2018-05-29,927827.5,850285.6,738228.37,737356.97,5082.431666666666,5082.431666666666
2018-05-30,949227.8,924650.5,779503.3,765664.58,4842.5077083333335,4842.5077083333335
2018-05-31,986314.8,984350.2,832997.61,826778.89,4739.207708333333,4739.207708333333
2018-06-01,1121825.8,872701.0,834213.25,833693.83,5938.4747916666665,5938.4747916666665
2018-06-02,891972.6,926124.1,752621.2,752621.22,4900.726250000001,4900.726250000001
